lote;parc;numarb;narha;dappr;dcpr;altpro;Vtccha;Vtscha;vasccha;Vpccha;vasescha;vpuscha;VCSCha;porvcvt
R1;169;42;1680;17.40;18.52;20.03;443.69;364.59;160.68;255.34;94.72;238.76;333.48;0.75
R1;170;35;1400;17.30;18.14;18.78;337.95;277.92;98.42;219.16;49.05;205.97;255.03;0.75
R1;157;39;1560;13.97;14.85;17.15;236.82;195.75;49.86;159.78;24.14;139.54;163.68;0.69
R1;160;30;1200;13.79;14.16;18.34;165.92;137.66;5.11;137.53;0.00;110.74;110.74;0.67
R1;158;22;880;16.86;17.51;18.56;199.82;164.45;47.72;139.14;27.69;122.32;150.01;0.75
R1;165;32;1280;15.87;16.29;16.22;205.18;169.46;10.67;175.71;0.00;148.89;148.89;0.73
R1;166;30;1200;13.76;14.92;16.30;177.73;146.82;23.94;132.56;11.55;113.74;125.29;0.70
R1;163;30;1200;17.11;17.93;22.15;320.60;263.87;89.04;210.35;48.00;191.48;239.47;0.75
R1;164;35;1400;17.08;17.83;18.37;310.16;255.31;66.74;223.26;33.61;199.23;232.84;0.75
R1;168;36;1440;16.50;17.58;16.84;298.81;245.79;98.38;179.86;59.88;163.74;223.62;0.75
R1;167;38;1520;16.31;17.04;11.76;186.76;154.04;18.09;151.27;0.00;135.88;135.88;0.73
R3;48;35;1400;15.88;16.88;14.90;241.99;199.21;66.47;156.75;32.40;145.93;178.33;0.74
R3;49;27;1080;15.65;16.02;15.18;157.72;130.33;6.70;136.20;5.44;107.73;113.17;0.72
R3;45;17;680;20.96;21.45;21.48;240.55;197.26;88.41;143.57;50.92;135.90;186.82;0.78
R3;43;20;800;19.17;19.47;19.46;219.78;180.62;44.31;164.70;24.32;144.58;168.89;0.77
R3;41;33;1320;13.05;14.77;14.15;183.68;151.67;24.15;140.98;0.00;132.40;132.40;0.72
R3;47;31;1240;15.09;15.86;14.35;170.20;140.55;24.48;128.29;10.82;109.68;120.49;0.71
R3;46;20;800;14.30;14.63;12.78;83.07;68.84;4.68;68.20;0.00;57.36;57.36;0.69
R3;44;21;840;18.35;18.69;17.90;194.86;160.31;37.91;145.74;14.96;132.94;147.89;0.76
R3;42;19;760;18.52;19.00;18.21;181.52;149.29;36.78;135.15;21.76;116.17;137.93;0.76
R3;40;30;1200;10.03;11.47;14.91;89.17;74.36;12.43;54.92;10.11;41.07;51.18;0.57
R3;39;27;1080;15.78;16.36;16.93;200.22;165.07;34.40;149.98;20.40;127.41;147.82;0.74
R3;38;18;720;21.95;22.60;18.03;240.51;196.93;106.92;127.16;67.04;121.05;188.09;0.78
R3;37;32;1280;16.40;17.25;16.12;232.25;191.33;46.44;167.71;25.48;144.55;170.03;0.73
R3;36;19;760;19.16;19.38;18.27;189.45;155.77;37.93;142.36;10.77;134.38;145.15;0.77
R3;35;17;680;18.68;19.40;16.76;179.79;147.46;72.55;99.36;42.77;95.87;138.64;0.77
R3;105;12;480;25.22;25.63;24.38;279.77;228.49;172.66;102.43;107.92;115.10;223.02;0.80
R3;100;28;1120;19.80;21.09;20.47;378.86;310.41;170.71;192.87;110.57;183.08;293.65;0.78
R3;99;24;960;17.92;19.01;17.45;244.47;200.71;86.98;146.02;54.87;132.16;187.03;0.77
R3;101;24;960;19.87;20.35;20.73;308.11;252.86;102.04;194.00;51.27;187.15;238.42;0.77
R3;106;16;640;22.26;22.97;24.34;327.94;268.10;188.96;131.41;121.43;136.81;258.25;0.79
R3;103;17;680;21.87;22.49;20.47;256.43;210.00;119.54;129.53;70.01;131.55;201.56;0.79
R3;102;17;680;18.04;19.30;14.56;159.05;130.38;66.50;85.74;41.94;80.04;121.98;0.77
R3;104;18;720;21.59;21.91;20.84;256.66;210.41;101.64;147.03;44.41;155.97;200.38;0.78
R3;98;28;1120;20.78;21.93;19.84;395.70;323.99;196.20;186.47;130.02;176.95;306.97;0.78
R3;107;22;880;21.88;22.41;19.70;316.78;259.44;139.56;167.61;71.60;177.69;249.28;0.79
R4;56;29;1160;17.70;18.58;17.57;253.11;208.21;75.45;161.36;28.62;159.46;188.08;0.74
R4;142;37;1480;18.15;18.68;20.77;389.87;320.79;82.99;284.65;36.29;259.07;295.36;0.76
R4;143;29;1160;16.19;17.07;19.16;248.03;204.35;67.11;161.64;30.33;151.10;181.42;0.73
R4;144;35;1400;18.62;19.27;20.19;390.70;321.04;117.24;253.52;56.04;241.47;297.51;0.76
R4;136;35;1400;13.67;14.78;16.42;209.47;173.27;0.00;188.86;0.00;149.24;149.24;0.71
R4;131;18;720;10.76;12.63;13.62;78.70;65.21;5.94;62.02;4.83;49.14;53.97;0.69
R4;132;50;2000;14.47;15.58;15.86;322.75;266.40;43.93;249.82;20.15;214.98;235.13;0.73
R4;127;45;1800;12.94;15.36;13.78;283.38;233.48;51.79;212.17;25.30;184.86;210.16;0.74
R4;137;33;1320;15.34;16.02;18.95;250.68;206.93;40.21;187.81;14.47;167.38;181.84;0.73
R4;138;44;1760;12.17;12.73;15.62;177.57;147.70;0.00;146.11;0.00;112.26;112.26;0.63
R4;129;32;1280;14.62;15.33;15.30;180.04;148.78;28.50;132.72;11.05;115.20;126.24;0.70
R4;51;14;560;20.70;21.38;19.96;188.01;154.10;75.58;106.77;44.77;100.33;145.10;0.77
R4;55;27;1080;20.03;20.98;17.52;300.87;246.71;129.30;159.98;77.46;154.31;231.78;0.77
R4;54;20;800;22.69;23.31;21.59;355.50;290.75;195.58;150.85;114.66;165.41;280.07;0.79
R4;53;17;680;18.99;19.61;19.75;198.02;162.59;61.37;127.62;33.57;118.18;151.75;0.77
R4;52;18;720;23.28;23.70;19.79;276.97;226.70;118.62;151.90;68.03;150.89;218.92;0.79
R4;124;32;1280;14.65;15.92;14.75;195.01;160.91;29.75;149.04;12.10;130.50;142.60;0.73
R4;125;28;1120;11.52;14.47;12.88;161.94;133.45;28.51;121.91;15.14;104.78;119.92;0.74
R4;126;35;1400;16.85;18.91;16.77;378.38;310.36;137.34;226.88;76.68;217.38;294.05;0.78
R4;130;34;1360;14.86;15.38;14.98;197.61;163.23;20.69;157.23;9.20;133.36;142.55;0.72
R4;139;38;1520;15.58;16.25;17.09;270.37;223.04;40.06;206.86;16.59;179.72;196.31;0.73
